location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Guangzhou,Guangzhou,CN,2015-09-20T00:00:00.000Z,2015-09-20T08:00:00+08:00,pm25,26,µg/m³,23.12,113.32,
Beijing US Embassy,Beijing,CN,2015-09-20T00:00:00.000Z,2015-09-20T08:00:00+08:00,pm25,73,µg/m³,39.95,116.47,
Shanghai,Shanghai,CN,2015-09-20T00:00:00.000Z,2015-09-20T08:00:00+08:00,pm25,25,µg/m³,31.21,121.44,
Chengdu,Chengdu,CN,2015-09-20T00:00:00.000Z,2015-09-20T08:00:00+08:00,pm25,69,µg/m³,30.63,104.07,
Shenyang,Shenyang,CN,2015-09-20T00:00:00.000Z,2015-09-20T08:00:00+08:00,pm25,91,µg/m³,41.78,123.42,
London Westminster,London,GB,2015-09-20T00:00:00.000Z,2015-09-20T01:00:00+01:00,no2,63,µg/m³,51.49467,-0.131931,
Tolgoit,Ulaanbaatar,MN,2015-09-20T00:00:00.000Z,2015-09-20T09:00:00+09:00,pm25,44,µg/m³,47.922495,106.794805,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Nisekh,Ulaanbaatar,MN,2015-09-20T00:00:00.000Z,2015-09-20T09:00:00+09:00,co,319,µg/m³,47.863943,106.779094,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Nisekh,Ulaanbaatar,MN,2015-09-20T00:00:00.000Z,2015-09-20T09:00:00+09:00,so2,7,µg/m³,47.863943,106.779094,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
MNB,Ulaanbaatar,MN,2015-09-20T00:00:00.000Z,2015-09-20T09:00:00+09:00,pm25,33,µg/m³,47.929732,106.888629,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Nisekh,Ulaanbaatar,MN,2015-09-20T00:00:00.000Z,2015-09-20T09:00:00+09:00,pm25,23,µg/m³,47.863943,106.779094,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Tolgoit,Ulaanbaatar,MN,2015-09-20T00:00:00.000Z,2015-09-20T09:00:00+09:00,o3,27,µg/m³,47.922495,106.794805,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Tolgoit,Ulaanbaatar,MN,2015-09-20T00:00:00.000Z,2015-09-20T09:00:00+09:00,so2,9,µg/m³,47.922495,106.794805,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
MNB,Ulaanbaatar,MN,2015-09-20T00:00:00.000Z,2015-09-20T09:00:00+09:00,o3,24,µg/m³,47.929732,106.888629,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
Tolgoit,Ulaanbaatar,MN,2015-09-20T00:00:00.000Z,2015-09-20T09:00:00+09:00,co,500,µg/m³,47.922495,106.794805,"[{""name"":""Agaar.mn"",""url"":""http://agaar.mn/""},{""name"":""National Agency of Meteorology and Environmental Monitoring"",""url"":""http://namem.gov.mn""}]"
