id	NY AGI of All Returns	Taxable Income of All Returns
4	-2644.47	1.90
5	432.81	20.85
6	3036.93	661.39
7	7270.07	2359.97
8	6152.42	1917.60
9	3739.27	1193.84
10	3970.75	730.97
11	6458.87	2143.69
12	6862.51	1320.02
13	12201.63	4391.15
15	3595.86	1949.24
17	66076.30	28091.29
18	-9068.19	5.06
19	1323.11	120.24
20	4782.00	2028.95
21	6246.72	3876.60
22	8914.34	6302.78
23	8831.69	6759.85
24	10811.13	8574.18
25	15400.97	12574.88
26	20362.45	16846.58
27	51524.16	44298.82
28	12571.80	10727.75
29	56425.84	51199.44
31	307060.22	257993.06
32	495186.25	421308.19
33	-5450.70	3.83
34	1407.20	90.72
35	3754.17	1666.25
36	2990.74	1893.02
37	2697.11	1667.84
38	2509.18	1896.33
39	2547.40	2008.71
40	2877.09	1999.15
41	4115.55	3036.36
42	16511.36	11430.85
43	10146.23	7179.04
44	51413.22	42537.05
45	425045.69	340539.53
46	520564.25	415948.69
47	-1124.35	0.00
48	337.68	23.00
49	788.74	322.92
50	1103.95	544.27
51	1032.09	751.51
52	1457.85	1077.68
53	1579.45	1038.49
54	2163.40	1644.14
55	2357.31	1723.39
56	12001.67	9661.25
57	5997.35	5050.65
58	28076.52	24823.51
59	109866.61	100579.89
60	165638.27	147240.69
61	-31104.92	1.74
62	382.22	28.19
63	1302.01	484.74
64	1236.64	731.44
65	993.07	545.08
66	1468.04	968.23
67	926.67	690.35
68	1805.19	1254.08
69	2250.54	1844.06
70	9278.70	7163.19
71	3621.38	2778.01
72	19662.53	16509.91
73	108657.52	98459.29
74	120479.60	131458.31
75	-8360.83	0.00
76	982.24	99.40
77	2658.83	1205.19
78	3149.68	2081.33
79	2000.72	1473.62
80	1885.87	1483.49
81	1827.98	1439.24
82	2912.38	2417.45
83	4737.79	4048.12
84	9448.47	7424.35
85	2420.02	2220.17
86	9876.35	8797.94
87	22999.85	19900.58
88	56539.35	52590.89
89	-19.05	0.00
90	1861.59	102.58
91	1665.29	758.24
92	962.61	645.39
93	464.75	328.38
97	45785.27	39574.42
98	55862.46	45348.86
99	-14262.26	0.72
100	386.65	18.17
101	1982.16	237.00
102	3929.45	650.04
103	3420.62	509.50
104	4028.82	1069.14
105	2549.18	1090.02
106	2530.41	866.17
107	4098.60	2304.32
108	13246.39	9498.89
109	3408.81	2267.30
110	10858.49	9099.65
111	104891.31	90977.70
112	141068.62	118588.61
113	-6172.70	0.00
114	219.79	17.00
115	461.65	178.64
116	729.33	470.27
117	671.85	433.95
118	623.16	420.56
120	732.21	460.86
121	1572.21	987.19
122	3141.64	2772.27
124	7032.16	6135.90
125	40866.58	26776.54
126	51363.04	39767.40
127	-2309.31	0.00
128	196.85	13.05
129	769.24	313.13
130	607.55	365.32
131	769.04	564.68
132	641.71	477.88
133	728.41	588.88
134	1639.16	1218.54
135	2595.22	2072.26
136	10424.32	9076.64
137	5005.40	4077.69
138	22873.88	19602.92
139	168926.61	158162.88
140	212868.08	196533.84
141	3.46	0.00
142	79.44	6.50
153	9678.37	9131.59
154	-30594.61	1.99
155	396.64	37.17
157	1206.18	453.31
158	867.32	393.25
159	522.64	237.75
160	809.54	372.36
161	1056.93	654.73
162	967.91	656.41
163	3732.84	3000.51
165	4518.03	4320.90
166	55865.39	49919.05
167	41808.41	61229.89
168	-160.51	0.00
170	265.82	76.29
179	3708.69	2780.68
180	11282.17	10249.59
181	19055.96	14898.49
182	-48639.55	3.02
183	1465.65	157.44
184	1952.93	775.02
185	1747.62	1013.84
186	2260.40	1604.88
187	3093.32	2159.11
188	2613.74	1840.97
189	4736.80	3853.07
190	7442.50	5606.55
191	46927.36	37556.04
192	27240.82	21021.71
193	116459.21	96579.28
194	2151792.75	1998628.88
195	2319093.50	2170799.75
196	-29665.78	5.27
197	4832.06	318.68
198	9204.77	3701.49
199	9356.81	5506.29
200	8008.50	5307.11
201	6388.40	4246.20
202	6619.77	4441.25
203	11442.31	8081.99
204	13797.11	9211.51
205	53133.86	37057.62
206	26616.09	20029.73
207	122805.92	100493.54
208	1520050.50	1398825.00
