id	NY AGI of All Returns	Taxable Income of All Returns	Cluster
4	-2644.47	1.90	5
5	432.81	20.85	5
6	3036.93	661.39	5
7	7270.07	2359.97	5
8	6152.42	1917.60	5
9	3739.27	1193.84	5
10	3970.75	730.97	5
11	6458.87	2143.69	5
12	6862.51	1320.02	5
13	12201.63	4391.15	5
15	3595.86	1949.24	5
17	66076.30	28091.29	5
18	-9068.19	5.06	5
19	1323.11	120.24	5
20	4782.00	2028.95	5
21	6246.72	3876.60	5
22	8914.34	6302.78	5
23	8831.69	6759.85	5
24	10811.13	8574.18	5
25	15400.97	12574.88	5
26	20362.45	16846.58	5
27	51524.16	44298.82	5
28	12571.80	10727.75	5
29	56425.84	51199.44	5
31	307060.22	257993.06	1
32	495186.25	421308.19	1
33	-5450.70	3.83	5
34	1407.20	90.72	5
35	3754.17	1666.25	5
36	2990.74	1893.02	5
37	2697.11	1667.84	5
38	2509.18	1896.33	5
39	2547.40	2008.71	5
40	2877.09	1999.15	5
41	4115.55	3036.36	5
42	16511.36	11430.85	5
43	10146.23	7179.04	5
44	51413.22	42537.05	5
45	425045.69	340539.53	1
46	520564.25	415948.69	1
47	-1124.35	0.00	5
48	337.68	23.00	5
49	788.74	322.92	5
50	1103.95	544.27	5
51	1032.09	751.51	5
52	1457.85	1077.68	5
53	1579.45	1038.49	5
54	2163.40	1644.14	5
55	2357.31	1723.39	5
56	12001.67	9661.25	5
57	5997.35	5050.65	5
58	28076.52	24823.51	5
59	109866.61	100579.89	5
60	165638.27	147240.69	1
61	-31104.92	1.74	5
62	382.22	28.19	5
63	1302.01	484.74	5
64	1236.64	731.44	5
65	993.07	545.08	5
66	1468.04	968.23	5
67	926.67	690.35	5
68	1805.19	1254.08	5
69	2250.54	1844.06	5
70	9278.70	7163.19	5
71	3621.38	2778.01	5
72	19662.53	16509.91	5
73	108657.52	98459.29	5
74	120479.60	131458.31	5
75	-8360.83	0.00	5
76	982.24	99.40	5
77	2658.83	1205.19	5
78	3149.68	2081.33	5
79	2000.72	1473.62	5
80	1885.87	1483.49	5
81	1827.98	1439.24	5
82	2912.38	2417.45	5
83	4737.79	4048.12	5
84	9448.47	7424.35	5
85	2420.02	2220.17	5
86	9876.35	8797.94	5
87	22999.85	19900.58	5
88	56539.35	52590.89	5
89	-19.05	0.00	5
90	1861.59	102.58	5
91	1665.29	758.24	5
92	962.61	645.39	5
93	464.75	328.38	5
97	45785.27	39574.42	5
98	55862.46	45348.86	5
99	-14262.26	0.72	5
100	386.65	18.17	5
101	1982.16	237.00	5
102	3929.45	650.04	5
103	3420.62	509.50	5
104	4028.82	1069.14	5
105	2549.18	1090.02	5
106	2530.41	866.17	5
107	4098.60	2304.32	5
108	13246.39	9498.89	5
109	3408.81	2267.30	5
110	10858.49	9099.65	5
111	104891.31	90977.70	5
112	141068.62	118588.61	5
113	-6172.70	0.00	5
114	219.79	17.00	5
115	461.65	178.64	5
116	729.33	470.27	5
117	671.85	433.95	5
118	623.16	420.56	5
120	732.21	460.86	5
121	1572.21	987.19	5
122	3141.64	2772.27	5
124	7032.16	6135.90	5
125	40866.58	26776.54	5
126	51363.04	39767.40	5
127	-2309.31	0.00	5
128	196.85	13.05	5
129	769.24	313.13	5
130	607.55	365.32	5
131	769.04	564.68	5
132	641.71	477.88	5
133	728.41	588.88	5
134	1639.16	1218.54	5
135	2595.22	2072.26	5
136	10424.32	9076.64	5
137	5005.40	4077.69	5
138	22873.88	19602.92	5
139	168926.61	158162.88	1
140	212868.08	196533.84	1
141	3.46	0.00	5
142	79.44	6.50	5
153	9678.37	9131.59	5
154	-30594.61	1.99	5
155	396.64	37.17	5
157	1206.18	453.31	5
158	867.32	393.25	5
159	522.64	237.75	5
160	809.54	372.36	5
161	1056.93	654.73	5
162	967.91	656.41	5
163	3732.84	3000.51	5
165	4518.03	4320.90	5
166	55865.39	49919.05	5
167	41808.41	61229.89	5
168	-160.51	0.00	5
170	265.82	76.29	5
179	3708.69	2780.68	5
180	11282.17	10249.59	5
181	19055.96	14898.49	5
182	-48639.55	3.02	5
183	1465.65	157.44	5
184	1952.93	775.02	5
185	1747.62	1013.84	5
186	2260.40	1604.88	5
187	3093.32	2159.11	5
188	2613.74	1840.97	5
189	4736.80	3853.07	5
190	7442.50	5606.55	5
191	46927.36	37556.04	5
192	27240.82	21021.71	5
193	116459.21	96579.28	5
194	2151792.75	1998628.88	2
195	2319093.50	2170799.75	2
196	-29665.78	5.27	5
197	4832.06	318.68	5
198	9204.77	3701.49	5
199	9356.81	5506.29	5
200	8008.50	5307.11	5
201	6388.40	4246.20	5
202	6619.77	4441.25	5
203	11442.31	8081.99	5
204	13797.11	9211.51	5
205	53133.86	37057.62	5
206	26616.09	20029.73	5
207	122805.92	100493.54	5
208	1520050.50	1398825.00	2
209	1762590.38	1597225.75	2
210	-517054.69	139.48	5
211	19149.29	2071.19	5
212	56952.45	19972.40	5
213	75536.00	38476.59	5
214	79225.22	47074.49	5
215	82163.46	53971.79	5
216	80229.05	54957.12	5
218	111650.01	77923.52	5
219	165706.48	121319.81	5
220	476745.66	370888.22	1
221	172371.61	140406.70	1
222	617056.25	513581.22	1
225	-12419674.00	6367.40	5
226	236320.61	54079.13	1
227	815954.69	310939.41	1
228	1246801.62	637559.38	4
229	1627928.50	972458.19	4
230	2028343.62	1330759.50	2
231	2313847.00	1602274.50	2
232	3885915.25	2806658.75	3
239	-112779.63	1267.37	5
240	134868.09	18723.83	5
241	542305.94	222524.92	1
242	715247.94	425728.28	1
243	728276.25	502258.19	4
244	762232.00	569177.00	4
245	726906.25	561398.06	4
246	987561.00	791407.69	4
247	1424164.00	1178590.12	4
248	3505767.75	3047945.75	3
249	988947.50	893313.25	4
250	2168533.50	2004740.88	2
259	481.00	29.00	5
260	4049.00	1485.00	5
261	9139.00	5107.00	5
262	6654.00	4097.00	5
263	5845.00	3972.00	5
264	3469.00	2519.00	5
265	5066.00	3871.00	5
266	7118.00	5838.00	5
267	13930.00	12035.00	5
268	2282.00	1915.00	5
271	55975.00	44270.00	5
273	1314.00	96.00	5
274	5320.00	2289.00	5
275	7337.00	4774.00	5
276	10240.00	7527.00	5
277	9588.00	7484.00	5
278	11866.00	9679.00	5
279	16366.00	13638.00	5
280	22406.00	19401.00	5
281	50288.00	45708.00	5
282	14643.00	13790.00	5
283	55186.00	51948.00	5
284	382589.00	364712.00	1
285	574192.00	541049.00	1
287	1335.00	107.00	5
288	4457.00	2077.00	5
289	3548.00	2343.00	5
290	2606.00	1832.00	5
291	2719.00	2090.00	5
292	2695.00	2081.00	5
293	4036.00	3209.00	5
294	4877.00	4228.00	5
295	26249.00	23246.00	5
296	14199.00	12815.00	5
297	76438.00	70885.00	5
298	702115.00	631406.00	4
299	838366.00	756319.00	4
301	536.00	35.00	5
302	1152.00	500.00	5
303	1445.00	981.00	5
304	1393.00	1005.00	5
305	1491.00	1108.00	5
306	1628.00	1332.00	5
307	2666.00	2300.00	5
308	3782.00	3328.00	5
309	15022.00	13695.00	5
310	9860.00	8878.00	5
311	40020.00	37625.00	5
312	241809.00	187021.00	1
313	318480.00	257809.00	1
315	10870.00	785.00	5
316	35762.00	16646.00	5
317	20032.00	13755.00	5
318	46855.00	37363.00	5
319	15602.00	12894.00	5
320	14891.00	12798.00	5
321	21228.00	18711.00	5
322	18906.00	17196.00	5
323	39276.00	36697.00	5
324	7359.00	6935.00	5
325	43559.00	42219.00	5
326	1235369.00	1223940.00	4
327	1476634.00	1439944.00	2
329	1371.00	135.00	5
330	2616.00	1161.00	5
331	3170.00	2122.00	5
332	2069.00	1553.00	5
333	1904.00	1475.00	5
334	1868.00	1519.00	5
335	1868.00	1578.00	5
336	2577.00	2244.00	5
337	7823.00	7009.00	5
338	3085.00	2661.00	5
339	13290.00	12737.00	5
340	65185.00	55900.00	5
341	97852.00	90094.00	5
343	2809.00	133.00	5
344	2010.00	921.00	5
345	1400.00	963.00	5
346	901.00	695.00	5
347	562.00	465.00	5
351	2174.00	1918.00	5
353	3739.00	3306.00	5
354	21907.00	21564.00	5
355	36865.00	31242.00	5
357	456.00	18.00	5
358	2246.00	438.00	5
359	3787.00	1384.00	5
360	3158.00	1615.00	5
361	3821.00	2417.00	5
362	2630.00	1775.00	5
363	3687.00	2802.00	5
364	3896.00	2962.00	5
365	11915.00	10099.00	5
366	3930.00	3153.00	5
367	13117.00	11873.00	5
368	85640.00	71592.00	5
369	123877.00	110135.00	5
371	306.00	32.00	5
372	991.00	414.00	5
373	916.00	580.00	5
374	1162.00	903.00	5
375	1014.00	779.00	5
377	1066.00	878.00	5
378	1698.00	1473.00	5
379	3467.00	3169.00	5
381	8474.00	8202.00	5
382	71000.00	68065.00	5
383	85475.00	86216.00	5
385	268.00	15.00	5
386	983.00	380.00	5
387	646.00	327.00	5
388	1159.00	910.00	5
389	852.00	679.00	5
390	1162.00	963.00	5
391	1415.00	1222.00	5
392	1565.00	1398.00	5
393	11958.00	10931.00	5
394	5757.00	5195.00	5
395	36768.00	35320.00	5
396	266047.00	253851.00	1
397	326294.00	311193.00	1
399	73.00	6.00	5
400	211.00	74.00	5
401	319.00	198.00	5
407	2361.00	2089.00	5
408	17287.00	17042.00	5
409	23764.00	24071.00	5
411	430.00	32.00	5
412	1314.00	409.00	5
413	1371.00	642.00	5
414	736.00	438.00	5
415	753.00	495.00	5
417	725.00	549.00	5
418	984.00	837.00	5
419	2630.00	2236.00	5
422	66194.00	54841.00	5
423	45586.00	64936.00	5
425	164.00	18.00	5
426	352.00	137.00	5
427	238.00	153.00	5
433	1450.00	1326.00	5
436	33800.00	25235.00	5
437	36336.00	31591.00	5
439	2103.00	272.00	5
440	2505.00	1077.00	5
441	2715.00	1776.00	5
442	3432.00	2586.00	5
443	4459.00	3572.00	5
444	4505.00	3815.00	5
445	4862.00	4110.00	5
446	9912.00	8807.00	5
447	50518.00	46365.00	5
448	35992.00	33244.00	5
449	159096.00	149053.00	1
450	3173406.00	2976093.00	3
451	3292725.00	3230772.00	3
453	7338.00	424.00	5
454	10184.00	4407.00	5
455	10553.00	6772.00	5
456	9214.00	6732.00	5
457	9816.00	7689.00	5
458	7364.00	6057.00	5
459	12124.00	10206.00	5
460	17085.00	14887.00	5
461	63181.00	57048.00	5
462	29171.00	26659.00	5
463	140181.00	131666.00	5
464	1253017.00	1131458.00	4
465	1531420.00	1404012.00	2
467	15066.00	2104.00	5
468	50415.00	20700.00	5
469	64960.00	39515.00	5
470	71132.00	49769.00	5
471	73571.00	55247.00	5
472	73388.00	57296.00	5
473	97768.00	79567.00	5
474	146122.00	123104.00	5
476	406305.00	357415.00	1
477	143281.00	129658.00	5
478	498475.00	461585.00	1
479	3595662.00	2915634.00	3
482	242869.00	54038.00	1
483	843396.00	345523.00	4
484	1244553.00	702455.00	4
485	1668147.00	1098625.00	2
486	1993625.00	1411768.00	2
487	2325499.00	1717524.00	2
488	3879728.00	2955949.00	3
496	131707.00	18986.00	5
497	528820.00	228348.00	1
498	696530.00	437541.00	1
499	710826.00	510915.00	4
500	731591.00	565738.00	4
501	689749.00	551614.00	4
502	931374.00	766775.00	4
503	1317013.00	1114045.00	4
504	3205817.00	2833062.00	3
505	899746.00	823900.00	4
506	1987605.00	1856857.00	2
512	2956.00	671.00	5
513	9259.00	3319.00	5
514	13632.00	6287.00	5
515	13663.00	7362.00	5
516	16418.00	9508.00	5
517	17906.00	10676.00	5
518	27371.00	16743.00	5
519	42629.00	27317.00	5
520	120699.00	84024.00	5
521	45258.00	31105.00	5
522	155830.00	112417.00	5
523	3814715.00	2436514.00	3
525	1325.00	97.00	5
526	6182.00	2597.00	5
527	8583.00	5298.00	5
528	9309.00	6584.00	5
529	9673.00	7189.00	5
530	11489.00	8992.00	5
531	17399.00	14042.00	5
532	21817.00	17709.00	5
533	49485.00	43028.00	5
534	15673.00	13787.00	5
535	60273.00	55025.00	5
536	390648.00	356613.00	1
537	590771.00	530969.00	1
539	1265.00	106.00	5
540	4872.00	2183.00	5
541	3295.00	2045.00	5
542	2695.00	1529.00	5
543	2328.00	1517.00	5
545	2071.00	1385.00	5
546	2597.00	1581.00	5
547	3763.00	2902.00	5
548	23792.00	17603.00	5
549	12252.00	8516.00	5
550	70920.00	55837.00	5
551	886080.00	709991.00	4
552	1012215.00	805194.00	4
554	13194.00	1716.00	5
555	50139.00	23996.00	5
556	78646.00	55283.00	5
557	60473.00	47065.00	5
558	38659.00	31665.00	5
559	25932.00	22183.00	5
560	12071.00	10429.00	5
561	20211.00	18162.00	5
562	31718.00	28425.00	5
563	6906.00	6113.00	5
564	24792.00	21940.00	5
565	149797.00	140748.00	5
566	485706.00	407728.00	1
567	641.00	0.00	5
568	2673.00	112.00	5
569	1900.00	848.00	5
570	1345.00	905.00	5
571	524.00	329.00	5
572	547.00	390.00	5
576	2950.00	2435.00	5
577	5849.00	5202.00	5
578	27097.00	25442.00	5
579	45809.00	37519.00	5
581	1816.00	239.00	5
582	2003.00	816.00	5
583	3292.00	2022.00	5
584	3215.00	2131.00	5
585	3733.00	2633.00	5
586	4472.00	3149.00	5
587	5915.00	4123.00	5
588	10279.00	8224.00	5
589	52903.00	43742.00	5
590	31572.00	24781.00	5
591	175019.00	148246.00	1
595	10255.00	696.00	5
596	19128.00	7560.00	5
597	21154.00	11976.00	5
598	17734.00	10593.00	5
599	15437.00	10003.00	5
600	14959.00	10401.00	5
601	22287.00	16147.00	5
602	31081.00	23522.00	5
603	111211.00	82528.00	5
604	49276.00	38989.00	5
605	221710.00	187064.00	1
606	2285237.00	2090689.00	2
607	2710015.00	2490176.00	3
609	15052.00	1733.00	5
610	53595.00	18069.00	5
611	68868.00	33519.00	5
612	72736.00	41664.00	5
613	69373.00	43557.00	5
614	72767.00	47079.00	5
615	99014.00	68477.00	5
616	139928.00	100850.00	5
617	391945.00	305851.00	1
618	140331.00	112964.00	5
619	467888.00	398359.00	1
