id	country	designation	points	price	province	region_1	region_2	variety	winery
65226	Austria	Terra O.	91	48.00	Burgenland			Red Blend	Johann Heinrich
87706	Italy	Pieve dei Monaci	90	18.00	Tuscany	Maremma Toscana		Syrah	Pieve Vecchia
43231	US	Arcadia	87	50.00	California	Napa Valley	Napa	Chardonnay	Stag's Leap Wine Cellars
145546	US		87	27.00	Washington	Columbia Valley (WA)	Columbia Valley	Cabernet Sauvignon	Goose Ridge
98119	US	Pepper Bridge Vineyard	89	32.00	Washington	Walla Walla Valley (WA)	Columbia Valley	Cabernet Sauvignon	Kontos
147039	US	Anderson Road	86	15.00	California	Paso Robles	Central Coast	Cabernet Sauvignon-Syrah	Dark Star
132222	US		91	50.00	California	Russian River Valley	Sonoma	Pinot Noir	Small Vines
124716	US		88	18.00	California	Carneros	Napa-Sonoma	Chardonnay	Egret
42461	Italy	Rosa di Fonterenza	83	19.00	Tuscany	Toscana		Rosato	Fonterenza
19070	US		84	34.00	California	Napa Valley	Napa	Bordeaux-style Red Blend	Tin Barn
120370	Argentina		82	13.00	Mendoza Province	Luján de Cuyo		Cabernet Sauvignon	Tierras Altas
147016	US		87	18.00	California	Calaveras County	Sierra Foothills	Sauvignon Blanc	Chatom
124608	Italy	Luia	90	53.00	Tuscany	Toscana		Red Blend	Tenuta della Luia
116246	France		84	11.00	Beaujolais	Beaujolais-Villages		Gamay	Louis Tête
9405	US	The Sorceress Upland Vineyard	92	60.00	Washington	Snipes Mountain	Columbia Valley	Grenache	Sleight of Hand
81302	Portugal	Alma Grande Reserva	91	17.00	Douro			Touriga Nacional	Caves Velhas
91190	Portugal	Late Bottled Vintage	91	25.00	Port			Port	Taylor Fladgate
29828	France	Clos des Mouches Premier Cru	94	120.00	Burgundy	Beaune		Chardonnay	Joseph Drouhin
32099	US	Les Collines Vineyard	88	35.00	Washington	Walla Walla Valley (WA)	Columbia Valley	Malbec	J & J
41678	US	Stewart	89	35.00	Oregon	Willamette Valley	Willamette Valley	Pinot Noir	Boedecker Cellars
90356	US	Alder Ridge Vineyard  Rosé	88	20.00	Washington	Horse Heaven Hills	Columbia Valley	Grenache	L'Ecole No. 41
89388	US		82	30.00	California	Russian River Valley	Sonoma	Zinfandel	Wine Guerrilla
117207	US	First Class	88	60.00	Oregon	Willamette Valley	Willamette Valley	Pinot Noir	Benton-Lane
93659	US		92	28.00	California	Napa Valley	Napa	Merlot	Whitehall Lane
86054	US	Identity Crisis	90	15.00	California	Santa Barbara County	Central Coast	Syrah	Babcock
88039	France	Clos de la Maréchale Premier Cru	93	90.00	Burgundy	Nuits-St.-Georges		Pinot Noir	Domaine Jacques-Frédéric Mugnier
2308	US	Azimuth	91	54.00	California	Paso Robles	Central Coast	Red Blend	Caliza
138995	US	La Petite Etoile Vineyard	87	20.00	California	Russian River Valley	Sonoma	Fumé Blanc	Chateau St. Jean
129997	US	Yamhill Springs Vineyard	87	37.00	Oregon	Willamette Valley	Willamette Valley	Pinot Noir	Raptor Ridge
148965	US	Vineyard Selection	87	16.00	Washington	Columbia Valley (WA)	Columbia Valley	Merlot	Hogue
60734	Italy	Buio	87	28.00	Sicily & Sardinia	Carignano del Sulcis		Carignano	Mesa
150790	US	Meritage	90	28.00	California	Sonoma County	Sonoma	Bordeaux-style Red Blend	Dry Creek Vineyard
50595	US		88	10.00	Washington	Columbia Valley (WA)	Columbia Valley	Syrah	Castle Rock
141831	France		84	9.00	Provence	Côtes de Provence		Rosé	Baron Gassier
139764	Italy	Burdese	92	39.00	Sicily & Sardinia	Sicilia		Red Blend	Planeta
39764	Italy		86	15.00	Tuscany	Toscana		Sémillon	Fornacelle
116473	US		82	8.00	Washington	Columbia Valley (WA)	Columbia Valley	Cabernet Sauvignon	Washington Hills
73382	Chile	Orzada	90	20.00	Cauquenes Valley			Carignan	Odfjell
130547	Italy	Messorio	94	250.00	Tuscany	Bolgheri		Merlot	Le Macchiole
105156	US	Piner Creek Ranch Dry	90	30.00	California	Russian River Valley	Sonoma	Gewürztraminer	Halleck
33985	Argentina		83	14.00	Mendoza Province	Mendoza		Merlot	Noble Aconcagua
112425	US		83	16.00	New York	Finger Lakes	Finger Lakes	Cabernet Sauvignon	Fulkerson
10799	Austria	Heiligenstein Erste Lage	94	38.00	Kamptal			Riesling	Bründlmayer
78659	Italy	Terre di Ginestra BlanQ	87	18.00	Sicily & Sardinia	Sicilia		White Blend	Calatrasi
87096	Austria	Rabenstein Reserve	91	27.00	Weinviertel			Grüner Veltliner	Dürnberg
110345	France	Brut	90	18.00	Burgundy	Crémant de Bourgogne		Sparkling Blend	Léonce Bocquet
88237	Italy	Sassomagno	88	15.00	Tuscany	Sant'Antimo		Sangiovese	Fanti
41662	US	Bien Nacido Vineyard	87	50.00	California	Santa Maria Valley	Central Coast	Pinot Noir	Twomey
40888	US	Flying & Falling	92	32.00	New York	North Fork of Long Island	Long Island	Cabernet Franc	Southold
76540	US		87	18.00	Washington	Columbia Valley (WA)	Columbia Valley	Riesling	Southard
97727	Germany	Grünlack Spätlese Trocken	88	50.00	Rheingau			Riesling	Schloss Johannisberger
57456	Italy	Albatro	86	39.00	Tuscany	Toscana		Red Blend	Máté
143103	US		83	18.00	California	Sonoma County	Sonoma	Cabernet Sauvignon	Kenwood
104573	Argentina		85	15.00	Other	Neuquén		Pinot Noir	Valle Perdido
142417	France		87	11.00	Rhône Valley	Costières de Nîmes		Rosé	Domaine de la Petite Cassagne
33209	US		86	52.00	California	Napa Valley	Napa	Cabernet Sauvignon	Stags' Leap Winery
111194	France		88	17.00	Bordeaux	Saint-Estèphe		Bordeaux-style Red Blend	Château Lilian Ladouys
75968	US	Estate	89	21.00	California	Russian River Valley	Sonoma	Zinfandel	Balletto
54722	US	Carlisle Vineyard	90	34.00	California	Russian River Valley	Sonoma	Zinfandel	Novy
1263	France	Cuvée Réservée	85	63.00	Rhône Valley	Châteauneuf-du-Pape		Rhône-style White Blend	Domaine du Pegau
135297	France	La Patache	85	12.00	Bordeaux	Médoc		Cabernet Sauvignon	Domaines Lapalu
92798	Austria	Steinwand Federspiel	88	19.00	Wachau			Grüner Veltliner	Schmelz
