id	country	designation	points	price	province	region_1	region_2	variety	winery	Cluster
65226	Austria	Terra O.	91	48.00	Burgenland			Red Blend	Johann Heinrich	C4
87706	Italy	Pieve dei Monaci	90	18.00	Tuscany	Maremma Toscana		Syrah	Pieve Vecchia	C1
43231	US	Arcadia	87	50.00	California	Napa Valley	Napa	Chardonnay	Stag's Leap Wine Cellars	C4
145546	US		87	27.00	Washington	Columbia Valley (WA)	Columbia Valley	Cabernet Sauvignon	Goose Ridge	C3
98119	US	Pepper Bridge Vineyard	89	32.00	Washington	Walla Walla Valley (WA)	Columbia Valley	Cabernet Sauvignon	Kontos	C3
147039	US	Anderson Road	86	15.00	California	Paso Robles	Central Coast	Cabernet Sauvignon-Syrah	Dark Star	C1
132222	US		91	50.00	California	Russian River Valley	Sonoma	Pinot Noir	Small Vines	C4
124716	US		88	18.00	California	Carneros	Napa-Sonoma	Chardonnay	Egret	C1
42461	Italy	Rosa di Fonterenza	83	19.00	Tuscany	Toscana		Rosato	Fonterenza	C1
19070	US		84	34.00	California	Napa Valley	Napa	Bordeaux-style Red Blend	Tin Barn	C3
120370	Argentina		82	13.00	Mendoza Province	Luján de Cuyo		Cabernet Sauvignon	Tierras Altas	C1
147016	US		87	18.00	California	Calaveras County	Sierra Foothills	Sauvignon Blanc	Chatom	C1
124608	Italy	Luia	90	53.00	Tuscany	Toscana		Red Blend	Tenuta della Luia	C4
116246	France		84	11.00	Beaujolais	Beaujolais-Villages		Gamay	Louis Tête	C1
9405	US	The Sorceress Upland Vineyard	92	60.00	Washington	Snipes Mountain	Columbia Valley	Grenache	Sleight of Hand	C4
81302	Portugal	Alma Grande Reserva	91	17.00	Douro			Touriga Nacional	Caves Velhas	C1
91190	Portugal	Late Bottled Vintage	91	25.00	Port			Port	Taylor Fladgate	C3
29828	France	Clos des Mouches Premier Cru	94	120.00	Burgundy	Beaune		Chardonnay	Joseph Drouhin	C2
32099	US	Les Collines Vineyard	88	35.00	Washington	Walla Walla Valley (WA)	Columbia Valley	Malbec	J & J	C3
41678	US	Stewart	89	35.00	Oregon	Willamette Valley	Willamette Valley	Pinot Noir	Boedecker Cellars	C3
90356	US	Alder Ridge Vineyard  Rosé	88	20.00	Washington	Horse Heaven Hills	Columbia Valley	Grenache	L'Ecole No. 41	C1
89388	US		82	30.00	California	Russian River Valley	Sonoma	Zinfandel	Wine Guerrilla	C3
117207	US	First Class	88	60.00	Oregon	Willamette Valley	Willamette Valley	Pinot Noir	Benton-Lane	C4
93659	US		92	28.00	California	Napa Valley	Napa	Merlot	Whitehall Lane	C3
86054	US	Identity Crisis	90	15.00	California	Santa Barbara County	Central Coast	Syrah	Babcock	C1
88039	France	Clos de la Maréchale Premier Cru	93	90.00	Burgundy	Nuits-St.-Georges		Pinot Noir	Domaine Jacques-Frédéric Mugnier	C2
2308	US	Azimuth	91	54.00	California	Paso Robles	Central Coast	Red Blend	Caliza	C4
138995	US	La Petite Etoile Vineyard	87	20.00	California	Russian River Valley	Sonoma	Fumé Blanc	Chateau St. Jean	C1
129997	US	Yamhill Springs Vineyard	87	37.00	Oregon	Willamette Valley	Willamette Valley	Pinot Noir	Raptor Ridge	C3
148965	US	Vineyard Selection	87	16.00	Washington	Columbia Valley (WA)	Columbia Valley	Merlot	Hogue	C1
60734	Italy	Buio	87	28.00	Sicily & Sardinia	Carignano del Sulcis		Carignano	Mesa	C3
150790	US	Meritage	90	28.00	California	Sonoma County	Sonoma	Bordeaux-style Red Blend	Dry Creek Vineyard	C3
50595	US		88	10.00	Washington	Columbia Valley (WA)	Columbia Valley	Syrah	Castle Rock	C1
