location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
CH0031A,Bern,CH,2018-12-31T22:00:00.000Z,2018-12-31T23:00:00+01:00,pm25,33.6999,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T22:00:00.000Z,2018-12-31T23:00:00+01:00,co,667.5,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T22:00:00.000Z,2018-12-31T23:00:00+01:00,pm10,36.5089,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T22:00:00.000Z,2018-12-31T23:00:00+01:00,no2,38.802,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T22:00:00.000Z,2018-12-31T23:00:00+01:00,o3,4.1478,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T21:00:00.000Z,2018-12-31T22:00:00+01:00,pm25,31.254,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T21:00:00.000Z,2018-12-31T22:00:00+01:00,co,677.3000000000001,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T21:00:00.000Z,2018-12-31T22:00:00+01:00,pm10,34.131,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T21:00:00.000Z,2018-12-31T22:00:00+01:00,no2,42.1485,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T21:00:00.000Z,2018-12-31T22:00:00+01:00,o3,3.4439,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T20:00:00.000Z,2018-12-31T21:00:00+01:00,o3,2.6848,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T20:00:00.000Z,2018-12-31T21:00:00+01:00,co,679.6,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T20:00:00.000Z,2018-12-31T21:00:00+01:00,pm10,33.9004,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T20:00:00.000Z,2018-12-31T21:00:00+01:00,no2,45.4459,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T20:00:00.000Z,2018-12-31T21:00:00+01:00,pm25,30.7892,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T19:00:00.000Z,2018-12-31T20:00:00+01:00,pm25,12.692,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T19:00:00.000Z,2018-12-31T20:00:00+01:00,co,533.6999999999999,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T19:00:00.000Z,2018-12-31T20:00:00+01:00,o3,5.6676,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T19:00:00.000Z,2018-12-31T20:00:00+01:00,pm10,13.8046,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T19:00:00.000Z,2018-12-31T20:00:00+01:00,no2,49.0831,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T18:00:00.000Z,2018-12-31T19:00:00+01:00,pm10,10.0201,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0031A,Bern,CH,2018-12-31T18:00:00.000Z,2018-12-31T19:00:00+01:00,pm25,8.7002,µg/m³,46.9510019036189,7.44087126250177,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
