location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
CH0033A,Ticino,CH,2018-12-31T22:00:00.000Z,2018-12-31T23:00:00+01:00,pm25,39.5902,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T22:00:00.000Z,2018-12-31T23:00:00+01:00,o3,4.4693,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T22:00:00.000Z,2018-12-31T23:00:00+01:00,so2,1.5473,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T22:00:00.000Z,2018-12-31T23:00:00+01:00,no2,38.5044,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T22:00:00.000Z,2018-12-31T23:00:00+01:00,pm10,42.6615,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T21:00:00.000Z,2018-12-31T22:00:00+01:00,pm25,32.2804,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T21:00:00.000Z,2018-12-31T22:00:00+01:00,so2,1.5265,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T21:00:00.000Z,2018-12-31T22:00:00+01:00,no2,39.5918,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T21:00:00.000Z,2018-12-31T22:00:00+01:00,o3,3.857,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T21:00:00.000Z,2018-12-31T22:00:00+01:00,pm10,35.5196,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T20:00:00.000Z,2018-12-31T21:00:00+01:00,pm25,32.1428,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T20:00:00.000Z,2018-12-31T21:00:00+01:00,o3,3.6205,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T20:00:00.000Z,2018-12-31T21:00:00+01:00,pm10,36.8907,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T20:00:00.000Z,2018-12-31T21:00:00+01:00,no2,42.292,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T20:00:00.000Z,2018-12-31T21:00:00+01:00,so2,1.4085,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T19:00:00.000Z,2018-12-31T20:00:00+01:00,pm10,37.1809,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T19:00:00.000Z,2018-12-31T20:00:00+01:00,so2,1.8815,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T19:00:00.000Z,2018-12-31T20:00:00+01:00,pm25,30.5954,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T19:00:00.000Z,2018-12-31T20:00:00+01:00,no2,47.4089,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T19:00:00.000Z,2018-12-31T20:00:00+01:00,o3,3.7686,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T18:00:00.000Z,2018-12-31T19:00:00+01:00,no2,53.2242,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T18:00:00.000Z,2018-12-31T19:00:00+01:00,o3,3.8997,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T18:00:00.000Z,2018-12-31T19:00:00+01:00,pm25,29.5392,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T18:00:00.000Z,2018-12-31T19:00:00+01:00,so2,2.1491,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T18:00:00.000Z,2018-12-31T19:00:00+01:00,pm10,38.7711,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T17:00:00.000Z,2018-12-31T18:00:00+01:00,pm25,25.9292,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T17:00:00.000Z,2018-12-31T18:00:00+01:00,o3,3.7056,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T17:00:00.000Z,2018-12-31T18:00:00+01:00,pm10,34.9882,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T17:00:00.000Z,2018-12-31T18:00:00+01:00,so2,1.9469,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
CH0033A,Ticino,CH,2018-12-31T17:00:00.000Z,2018-12-31T18:00:00+01:00,no2,55.2323,µg/m³,46.1603950441395,8.93394312993115,"[{""name"":""EEA"",""url"":""http://www.eea.europa.eu/themes/air/air-quality""}]"
