id	vehicle_type	sex_of_driver	age_of_driver	engine_capacity_(cc)	age_of_vehicle
1	9	1	45	1794	11
2	9	2	25	1582	1
4	20	1	50	4462	1
7	3	2	27	50	8
8	9	1	33	1995	10
9	9	1	24	1398	1
10	9	1	25	1686	8
11	8	1	43	1997	6
13	9	2	43	1149	5
14	9	2	41	2967	1
15	9	2	23	999	1
16	9	2	51	1199	16
17	9	1	45	1796	12
18	9	1	51	1798	8
19	9	2	55	4000	8
21	9	2	37	1598	3
22	9	1	26	1197	1
23	9	1	26	1197	1
24	9	1	26	1197	1
25	9	1	40	2995	5
26	9	2	48	1242	8
27	9	2	47	1896	7
29	9	1	41	1896	7
30	9	1	32	1396	11
34	9	1	15	1242	8
35	9	2	31	1198	1
39	9	1	27	1997	7
40	9	2	33	1390	3
41	9	1	26	1396	12
42	9	2	51	1587	10
46	9	2	51	998	1
48	9	2	25	1229	10
49	9	2	40	1598	10
51	9	2	65	998	8
52	9	2	27	1086	7
53	9	1	51	1997	2
54	9	1	37	998	1
55	9	1	35	1995	3
57	9	1	40	1198	10
58	9	2	40	1560	5
59	9	2	50	1598	4
60	9	1	31	2148	6
61	9	2	31	1461	1
62	9	2	34	998	6
63	3	1	17	125	5
64	9	1	68	1997	12
65	11	1	68	9360	6
66	11	1	68	9360	6
67	11	1	68	9360	6
68	5	1	30	599	15
69	9	2	48	1796	8
70	9	1	26	1598	8
71	9	1	26	1598	8
72	9	1	43	2993	2
73	9	1	31	1598	1
74	19	1	58	2143	1
75	9	1	40	1598	12
76	9	2	44	1560	1
80	9	1	36	2685	11
82	9	1	30	698	8
83	9	1	41	1396	1
84	9	2	30	1363	13
85	9	2	28	1995	9
87	9	1	53	2360	14
88	9	2	50	1242	3
90	9	1	24	1598	3
91	5	1	49	399	25
92	9	1	52	1796	8
93	9	1	45	1796	15
94	3	1	26	125	2
95	9	1	45	1596	11
97	9	1	23	1461	11
98	9	2	30	973	14
99	5	1	47	1585	6
100	9	2	73	998	25
101	9	2	41	1360	12
103	9	2	25	1390	8
105	5	1	25	748	9
106	9	2	26	1399	3
108	9	1	30	1686	5
109	3	1	36	124	16
110	5	1	33	996	13
111	9	1	49	1984	20
112	9	1	66	1598	2
113	5	1	34	599	15
114	9	1	65	1997	11
115	9	1	50	1968	2
116	9	2	24	998	1
117	9	2	24	998	1
120	9	1	30	1968	10
121	9	1	31	996	5
122	9	1	30	1396	1
124	9	2	37	1598	11
125	9	2	74	1197	1
127	9	1	21	2148	10
128	9	1	21	2148	10
129	9	2	92	1124	19
130	21	1	32	9200	8
131	9	2	65	1995	3
132	9	1	30	1398	8
133	9	1	28	1984	1
134	9	1	28	1984	1
135	9	3	43	1896	6
136	9	1	57	1747	16
137	9	1	37	1461	1
138	9	1	68	1229	3
141	9	2	32	1200	2
142	9	2	32	1200	2
143	9	1	55	898	1
144	9	1	34	1796	9
145	9	1	26	1390	3
147	9	1	22	2204	9
148	9	2	68	998	9
151	9	2	46	1968	2
152	9	1	32	1998	20
153	9	1	81	1753	12
154	9	2	49	1248	7
156	9	1	68	1124	3
157	9	1	56	1497	14
158	9	1	75	2720	7
159	9	1	58	1598	2
160	9	1	31	1956	1
161	9	1	24	1686	8
162	9	1	24	1686	8
163	5	1	49	1157	9
164	9	2	22	998	2
166	9	2	18	1149	10
167	9	1	27	1242	9
169	3	1	40	124	5
170	9	1	38	1600	16
171	9	2	30	1968	1
172	3	1	26	124	5
173	9	1	49	1497	7
174	9	1	47	1390	12
176	9	2	75	1360	8
177	3	1	55	124	1
178	9	1	33	1329	2
181	5	1	37	649	1
182	5	1	37	649	1
184	9	2	20	998	2
185	3	1	17	124	4
186	19	1	23	2287	4
189	9	1	28	2993	3
190	9	1	28	2993	3
191	9	1	30	2987	9
192	9	1	27	1968	8
193	9	1	27	1968	8
194	9	2	33	1598	3
196	11	2	36	7300	6
200	9	1	27	1796	13
201	9	1	30	1124	12
202	9	1	30	1124	12
203	9	1	21	999	1
204	3	1	49	125	2
207	9	2	68	1242	12
217	8	1	47	1968	2
218	9	2	31	1390	12
220	9	2	28	1896	13
224	2	1	23	124	1
225	9	1	30	1968	5
227	9	2	30	2521	10
228	5	1	38	929	14
229	9	1	32	1781	13
230	9	1	53	1968	7
231	9	1	26	1497	10
232	19	1	49	2402	4
233	9	1	38	1332	17
235	19	1	30	2198	7
236	9	1	54	3189	11
237	9	2	65	1198	4
238	9	1	25	2198	12
239	9	1	24	899	1
240	9	1	49	1999	11
241	9	2	28	1248	7
242	9	1	62	2397	13
243	3	1	31	125	1
244	9	2	27	1598	1
245	11	1	55	6700	6
247	21	1	54	9200	8
248	9	2	72	1595	13
249	9	1	56	1388	10
250	9	2	59	1398	6
251	9	1	49	1149	13
252	8	1	40	1461	2
253	3	1	24	49	7
254	3	1	21	124	1
255	9	1	22	998	1
256	9	2	42	1242	1
257	9	1	35	1596	5
259	9	2	58	1248	2
262	9	1	36	1598	13
264	3	1	17	125	10
265	9	1	23	1595	7
266	9	1	27	1124	7
267	9	1	21	1499	10
271	9	2	58	1968	9
272	9	1	30	1149	12
273	9	1	42	1275	19
274	9	1	70	1329	4
275	9	2	24	2995	9
276	9	2	24	2995	9
277	9	1	50	1995	6
278	9	1	87	989	15
281	10	1	46	1870	10
284	9	1	22	1995	1
285	3	1	38	125	2
287	9	1	27	1390	11
290	9	2	22	1242	6
291	5	1	46	1170	1
292	9	1	29	1242	12
293	9	1	60	1560	8
294	9	2	28	1599	11
295	9	2	59	1398	1
296	9	1	30	1995	2
297	9	1	21	1560	10
298	10	1	51	2198	5
299	9	1	61	1388	6
301	9	1	30	1399	7
302	9	1	27	1956	1
303	9	1	28	1149	12
304	9	2	19	1896	10
305	9	1	46	1896	8
309	9	2	61	1388	5
310	9	2	61	1388	5
311	9	2	23	1229	2
315	9	1	51	2199	21
317	9	1	53	1560	5
318	9	1	75	1398	7
320	9	1	46	1968	2
321	9	3	38	2387	8
322	4	1	30	124	25
323	10	1	46	2402	10
324	19	1	45	2198	4
327	9	1	33	1119	13
328	9	1	33	1119	13
330	9	1	48	1461	12
331	2	1	50	50	1
332	9	2	34	1598	1
333	9	1	31	1560	4
334	9	2	33	1120	16
335	21	1	28	12777	7
336	9	1	71	1598	2
337	9	1	37	1299	10
338	9	2	35	2993	2
339	9	1	30	1753	14
340	9	1	30	1753	14
342	9	2	24	1598	7
343	9	1	56	1598	10
344	9	2	20	1229	8
345	9	2	19	1598	2
349	9	1	45	1685	2
350	9	2	44	1598	8
351	9	2	36	998	9
353	19	1	30	1868	12
354	9	1	29	1781	12
357	9	1	32	1560	10
358	3	1	37	124	2
359	9	2	31	1386	8
361	9	1	73	1198	6
363	9	1	20	1248	6
364	9	1	44	1598	2
365	9	1	45	1362	3
366	9	2	38	1998	7
367	9	2	38	1998	7
368	9	2	38	1998	7
369	9	2	38	1998	7
370	8	1	45	1896	8
371	8	1	34	1910	8
372	8	1	34	1910	8
373	9	1	26	1390	5
375	9	2	27	2000	6
376	9	1	48	1995	8
378	9	2	64	796	14
379	9	2	64	796	14
380	9	1	52	1968	2
381	9	1	51	1995	2
382	9	1	48	2720	7
383	9	1	67	1197	1
384	9	1	21	1364	6
386	9	1	28	1598	1
387	9	2	48	1598	3
388	9	2	34	1242	2
389	3	1	42	125	8
390	9	1	36	1984	10
392	9	2	59	1497	10
393	9	1	45	1997	10
396	8	1	48	1461	4
398	9	1	24	1896	7
399	9	1	42	1781	13
400	9	1	42	1781	13
404	9	1	48	1199	14
409	2	1	26	49	5
411	9	1	28	1242	12
412	9	2	62	1242	10
413	9	2	62	1242	10
414	9	1	22	1198	1
415	9	2	39	1598	1
416	8	1	43	2402	12
417	9	2	70	1197	3
418	9	1	77	1396	12
420	9	1	79	1596	11
421	9	2	31	1598	14
422	9	1	30	1598	17
424	9	1	32	1997	4
425	9	1	40	2495	19
427	8	1	56	995	5
428	8	1	56	995	5
429	11	1	54	4461	2
430	9	2	24	1390	9
431	9	2	47	1968	1
432	9	1	18	1229	5
433	9	1	20	1229	9
435	9	1	79	1329	5
436	9	1	35	1598	1
439	9	1	39	1248	6
440	9	1	33	973	12
441	9	1	57	1461	1
442	8	1	44	2148	6
445	9	1	63	2497	8
446	9	1	27	1598	7
447	9	2	44	1598	2
449	11	1	52	4250	8
450	9	2	37	1388	6
451	9	2	34	1910	8
453	9	1	21	1240	6
456	9	1	28	2996	8
457	9	1	54	1560	7
458	9	2	32	1582	3
459	21	1	60	12809	1
461	3	1	39	124	1
463	8	1	35	1995	6
464	8	1	35	1995	6
465	9	1	34	1968	2
468	9	1	30	1242	3
473	9	1	32	1686	13
474	9	2	34	1329	3
475	5	1	30	498	14
476	9	2	73	2962	16
483	9	1	29	998	11
484	9	1	25	999	16
487	5	1	22	600	12
488	9	2	18	998	16
489	9	1	25	1995	5
490	9	1	25	1995	2
491	9	1	25	1995	2
492	9	1	25	1995	2
493	9	1	25	1995	2
494	9	1	36	1896	8
495	9	1	36	1896	8
496	9	1	36	1896	8
497	9	2	41	1997	12
498	9	1	40	2494	13
499	9	1	40	2494	13
503	9	1	69	999	5
504	9	1	30	1753	13
505	9	1	70	998	2
506	9	2	65	1299	13
507	9	1	51	998	9
508	9	1	52	1997	11
509	9	1	69	2354	7
510	4	1	22	125	1
511	9	2	28	1968	6
512	9	2	58	1685	1
513	9	1	26	1598	8
514	9	1	39	1910	7
515	9	1	42	1997	2
517	9	2	40	1598	3
518	9	1	30	1895	15
519	9	1	28	1396	1
520	9	1	30	1988	13
523	9	2	65	1991	10
524	9	1	20	1598	7
527	9	1	22	2967	11
528	5	1	55	1170	6
529	9	1	24	2497	10
530	9	2	47	1995	11
531	9	1	39	1596	9
534	9	2	30	1388	3
536	9	2	29	2204	8
537	3	1	25	124	5
538	9	1	52	998	3
539	9	2	53	998	2
541	8	1	33	1598	3
545	9	1	71	1389	19
546	9	1	71	1389	19
547	9	1	64	1390	17
548	9	2	26	1349	5
549	9	2	47	1591	2
550	9	2	47	1591	2
551	9	1	41	3200	13
552	9	1	67	1086	6
556	8	1	30	1497	7
557	9	1	18	998	13
558	3	1	24	124	4
559	9	1	52	1149	11
560	9	1	42	1999	12
561	5	1	32	599	11
562	3	1	31	124	2
564	9	1	21	1197	2
565	9	1	21	1197	2
566	9	1	21	1197	2
567	9	1	21	1197	2
568	9	1	30	1198	7
569	19	1	38	1997	12
570	19	1	43	1998	10
571	9	1	33	1598	11
572	9	1	23	1995	8
573	9	1	23	1995	8
574	9	1	40	2496	13
575	9	1	40	2496	13
576	9	1	40	2496	13
577	9	1	31	1360	9
578	9	1	31	1360	9
579	9	1	75	1242	17
580	19	1	44	1560	1
582	9	1	23	1229	6
584	9	1	37	1984	13
591	9	1	19	973	14
592	9	1	19	973	14
593	9	1	48	1896	8
594	9	1	48	1896	8
595	9	1	48	1896	8
596	9	1	47	1591	3
598	9	1	39	1895	15
599	3	1	22	124	3
600	9	1	20	998	6
601	9	1	34	1796	11
602	5	1	64	1470	12
603	9	1	40	2487	15
604	9	1	32	2183	4
605	5	1	62	798	3
606	9	1	33	1796	11
608	9	2	33	1998	12
609	9	1	80	1388	12
610	9	1	30	1798	4
611	8	1	50	2664	14
612	8	1	50	2664	14
613	8	1	50	2664	14
614	9	1	24	1229	5
616	19	1	64	1461	4
619	3	1	20	124	3
620	9	1	43	1896	7
621	9	2	38	1598	7
623	9	2	53	2987	2
625	9	2	47	2987	2
627	9	2	34	998	13
628	9	1	36	1598	14
629	9	1	71	2149	8
630	9	1	43	2494	11
631	9	1	43	2494	11
632	9	1	20	1968	4
633	9	2	40	1598	6
634	9	1	30	1796	14
635	9	1	43	1686	6
636	3	1	20	124	3
637	90	1	35	2999	5
638	9	2	43	1242	5
639	9	2	43	1242	5
640	9	1	21	1339	11
641	9	1	28	998	13
643	9	1	78	1498	7
644	9	1	22	1870	10
645	9	1	53	2499	11
646	9	2	37	1242	3
647	9	2	43	1590	16
649	9	2	24	1999	7
650	9	1	25	1753	6
652	9	1	23	1910	8
653	9	2	35	1388	13
654	9	1	42	1560	7
655	9	1	59	1700	14
656	9	2	27	1000	2
657	9	1	51	999	6
658	19	1	59	1868	9
659	9	1	33	1560	2
660	9	2	46	1398	11
661	9	2	48	1242	2
663	9	2	26	998	7
664	9	1	21	1753	9
665	9	1	21	1753	9
666	9	1	34	1896	10
668	9	1	24	1598	8
669	9	1	24	1598	8
671	9	1	25	1349	11
672	8	1	44	1797	4
673	9	1	27	1398	8
674	8	1	36	1896	5
675	8	1	36	1896	5
676	9	1	19	1299	10
677	9	1	60	1598	12
678	9	1	60	1598	12
679	9	1	60	1598	12
680	9	2	77	998	17
681	9	1	67	2926	12
682	3	1	25	124	12
683	9	2	43	1598	11
684	9	2	33	1598	9
685	9	2	42	1596	11
687	3	1	22	124	3
688	9	2	31	1598	6
689	9	1	68	1587	6
690	9	2	43	1598	10
694	9	2	27	1397	12
695	9	1	26	1797	16
696	9	1	21	1242	4
697	9	1	21	1242	4
698	9	2	40	1461	4
699	9	2	40	1461	4
700	9	2	49	1390	8
701	9	2	45	1598	5
702	3	1	18	125	8
703	9	1	68	1390	9
705	9	2	42	1461	5
706	9	1	28	1781	13
707	8	1	67	1997	1
709	9	2	36	1598	5
710	90	1	35	2999	4
711	9	1	31	1399	8
712	9	2	43	1598	5
713	9	2	38	1910	5
714	9	2	30	1229	5
715	9	2	30	1229	5
716	9	2	30	998	1
717	9	1	31	1242	11
718	9	1	31	1242	11
719	9	1	25	1968	11
721	9	2	44	1598	6
722	9	1	47	2231	7
723	9	1	53	1994	12
724	9	1	53	1994	12
725	9	1	22	1896	14
726	9	1	30	1497	14
727	4	1	22	644	10
728	9	1	40	1560	3
730	9	1	71	2435	16
733	9	1	19	1328	5
734	9	1	51	1398	8
735	5	1	23	899	16
736	9	1	80	1998	10
737	9	1	40	1686	9
738	9	1	23	2204	8
741	9	1	65	1560	5
744	21	1	37	12419	1
745	9	2	50	1386	8
746	9	2	31	998	2
747	9	1	53	1198	10
749	9	1	45	1598	11
750	9	1	29	1198	1
752	2	1	21	125	1
753	9	1	46	1461	1
754	19	1	42	1896	7
756	9	2	76	1396	1
758	3	1	23	125	10
760	9	2	46	2000	11
761	9	1	45	1900	10
762	9	1	71	1582	2
763	9	1	28	1360	12
764	9	1	32	1198	8
767	9	1	41	1994	11
770	9	2	28	1339	7
771	9	1	24	1362	2
772	9	1	65	1598	1
774	9	1	47	1796	14
775	9	1	47	1796	14
776	9	1	47	1796	14
780	9	1	51	1896	14
781	90	1	32	2999	3
783	9	1	55	1988	14
785	3	1	22	124	7
786	9	1	73	1796	14
787	9	2	52	1389	19
788	9	2	52	1389	19
791	9	2	46	1984	13
792	3	1	38	124	2
793	19	1	24	2198	7
794	9	2	33	1360	12
795	9	2	33	1360	12
796	9	2	32	1242	8
797	9	1	35	1600	16
798	9	1	35	1600	16
799	9	1	58	1598	5
800	9	1	30	1798	9
802	9	1	36	1968	8
803	19	1	46	2148	9
804	9	2	26	1598	10
806	21	1	30	11705	14
807	21	1	30	11705	14
808	9	1	76	1396	6
809	9	1	22	1229	1
810	9	2	37	1560	2
811	3	1	46	125	8
813	9	1	30	1598	13
814	9	1	34	2000	16
815	21	1	44	12740	1
816	9	1	47	1598	11
818	9	1	50	1797	3
820	9	1	45	2179	8
821	9	1	30	1598	12
822	9	2	18	1242	2
825	9	1	47	1242	13
826	9	1	35	1275	21
827	9	1	70	2685	12
828	9	2	19	1398	7
829	9	1	44	1910	7
830	9	3	34	1360	13
831	3	1	53	124	10
832	9	1	25	2143	2
833	9	1	32	1989	16
835	9	1	30	1397	13
836	9	1	46	1896	6
837	9	1	34	1984	15
839	9	1	74	1591	3
841	9	1	24	2316	28
842	9	1	38	1753	12
843	9	2	33	1229	8
844	9	2	25	1396	6
845	9	2	25	1396	6
846	9	2	25	1396	6
847	9	1	63	1991	4
848	11	1	50	4461	2
850	9	1	38	1335	32
852	9	2	57	1595	8
854	9	1	21	2199	5
855	9	2	47	1248	1
856	9	2	27	1240	10
860	9	1	56	1388	14
862	9	2	34	1598	7
863	9	1	47	1598	12
864	9	1	44	1560	2
865	9	1	44	1560	2
866	9	1	62	1997	13
867	9	2	27	1598	9
868	9	1	37	1896	8
869	9	3	32	2967	9
870	9	2	53	998	2
871	9	1	24	1242	16
872	9	2	44	1461	11
873	9	2	18	998	7
874	9	2	18	998	7
875	19	1	43	2299	18
876	2	1	16	50	11
878	9	2	51	1587	11
879	9	2	51	1587	11
880	19	1	20	1995	2
881	9	2	44	1598	9
883	9	2	34	998	5
885	9	2	26	1296	8
887	19	1	25	2287	8
888	19	1	25	2287	8
891	9	1	19	1596	4
897	9	1	30	1396	1
899	9	1	64	1299	10
900	5	1	37	750	16
901	9	2	61	1364	5
903	9	1	30	1997	11
906	9	2	19	1242	12
908	3	1	23	125	6
909	9	1	39	1248	2
910	9	2	40	1329	3
912	8	1	44	2402	9
913	8	1	44	2402	9
914	9	2	45	1560	1
916	9	1	17	1968	4
917	9	2	55	998	13
918	9	1	57	1596	3
919	9	1	30	1796	1
921	21	1	55	6370	8
926	9	1	21	1360	10
927	9	1	21	1360	10
928	9	1	21	1360	10
929	9	1	76	1560	2
930	9	2	35	998	6
933	9	2	30	1798	5
935	9	1	22	1968	7
937	9	2	27	1390	2
938	9	1	79	1997	11
939	5	1	50	650	16
940	9	1	55	1997	7
941	5	1	52	1200	17
942	11	1	59	5883	14
943	9	2	76	1753	13
944	9	2	35	1582	3
945	9	2	22	998	8
946	9	2	21	998	1
948	9	1	51	2099	8
949	9	1	51	2099	8
951	9	1	24	1364	1
952	5	1	33	599	17
953	9	1	40	1986	8
954	9	1	60	1995	11
956	9	1	46	1686	2
957	9	1	39	1339	10
958	5	1	19	599	16
959	5	1	19	599	16
960	9	1	19	1390	6
961	9	1	45	1685	3
962	9	1	50	998	17
963	9	1	36	1988	10
964	9	1	28	1796	7
966	9	1	27	1956	3
967	9	1	24	1896	13
968	8	1	33	1598	5
969	8	1	33	1598	5
970	8	1	33	1598	5
971	9	1	22	1998	7
972	21	1	30	8970	8
973	9	2	50	1149	12
974	9	2	50	1149	12
975	9	2	50	1149	12
976	9	2	40	1598	7
977	9	1	90	1598	7
978	9	1	33	2000	10
979	9	1	62	1461	1
980	9	2	58	1332	18
981	9	1	57	1997	7
984	9	1	45	1560	1
985	9	2	44	1900	10
986	9	1	26	1199	13
987	9	2	42	1242	2
988	9	2	42	1242	2
990	19	1	52	1598	4
992	9	1	86	1388	10
993	9	2	21	1299	8
995	9	2	30	2171	11
996	9	1	60	1596	8
997	9	1	84	1840	15
998	9	2	44	1686	3
999	9	1	41	1998	13
1000	9	1	53	2685	11
1001	5	1	47	1084	13
1002	9	1	30	1896	12
1003	9	2	42	1229	3
1004	9	1	22	1149	10
1005	9	1	52	1598	7
1006	4	1	20	689	1
1007	9	1	85	1332	16
1009	9	1	81	1598	7
1013	9	1	45	1896	10
1015	9	1	19	973	15
1016	9	1	19	973	15
1017	9	2	42	1997	6
1018	9	2	76	1339	2
1019	9	1	22	1956	3
1020	9	1	22	1956	3
1021	20	1	30	4764	5
1023	9	1	21	1390	1
1024	9	1	20	1796	8
1025	9	1	20	1796	8
1026	9	1	34	1495	13
1029	5	1	48	781	13
1030	9	1	59	1999	12
1031	9	2	28	1499	10
1032	9	2	28	1499	10
1033	9	2	28	1499	10
1034	8	1	28	1560	7
1037	9	1	36	1595	8
1038	9	1	19	1390	7
1039	9	1	22	1242	1
1040	11	1	57	871	16
1042	5	1	33	599	7
1043	9	2	23	1242	2
1044	8	1	40	1798	4
1045	9	1	41	1753	10
1048	9	1	30	2200	14
1049	9	1	22	1997	9
1052	9	1	48	1995	2
1053	9	2	24	1598	11
1054	9	2	52	1388	4
1058	9	2	38	1364	8
1059	9	1	54	1598	10
1060	9	1	40	1998	9
1062	5	1	19	599	16
1063	9	2	23	1242	1
1064	9	2	60	1242	3
1067	9	2	35	1149	10
1068	5	1	23	750	3
1069	9	3	34	1199	14
1070	9	1	35	1587	8
1071	9	1	44	2099	13
1072	9	2	27	1598	4
1077	9	1	30	1582	2
1078	9	2	58	1995	5
1082	21	1	24	10800	14
1084	9	2	41	1560	10
1085	9	1	71	1997	1
1087	9	1	20	1199	14
1088	9	1	20	1199	14
1089	9	2	72	1339	2
1090	9	1	51	1988	10
1092	9	1	17	1229	8
1093	9	1	34	1997	1
1094	5	1	55	1250	10
1095	5	1	55	1250	10
1096	9	1	66	1299	17
1099	9	1	26	1995	1
1100	9	2	48	1598	12
1101	19	1	56	2488	5
1102	4	1	40	400	5
1103	9	1	28	1968	2
1104	9	1	35	1389	14
1105	9	1	35	1389	14
1106	9	1	35	1389	14
1107	9	1	31	1968	4
1108	9	1	45	1986	8
1109	11	1	46	9000	11
1110	9	2	43	1197	2
1112	9	2	57	1339	7
1114	9	2	56	1489	18
1116	9	2	25	1341	10
1118	9	2	40	2198	13
1119	11	1	41	6700	7
1120	9	1	20	1995	8
1121	9	1	43	1997	12
1122	9	1	32	1995	3
1124	9	2	50	1896	9
1126	9	1	72	1598	1
1127	9	1	56	1560	4
1128	9	1	47	1498	15
1129	3	1	27	124	13
1130	9	2	55	1242	1
1131	2	1	16	49	3
1132	9	2	52	1598	6
1133	11	1	54	4580	6
1134	9	2	57	1124	13
1138	9	1	29	1598	9
1140	9	1	56	1124	18
1141	9	2	30	2521	9
1142	9	2	30	2521	9
1143	9	2	30	2521	9
1146	9	1	30	998	14
1147	9	1	24	1896	10
1148	4	1	18	50	8
1149	9	2	30	1242	8
1150	9	2	22	1242	10
1151	9	2	56	1362	3
1153	9	1	23	1900	9
1154	9	2	40	1995	11
1155	5	1	29	1360	20
1156	9	1	67	1299	10
1157	9	1	19	1299	12
1158	3	1	19	125	2
1159	9	1	27	1968	1
1160	9	2	34	1242	16
1163	9	1	75	1998	13
1164	9	2	30	1997	15
1165	9	1	55	6208	1
1166	9	2	76	1339	3
1168	3	1	28	125	4
1173	9	2	53	1349	15
1174	9	2	53	1349	15
1175	9	2	33	1199	14
1176	9	2	33	1199	14
1177	9	1	30	1388	7
1179	19	1	47	2198	1
1182	9	2	17	1599	7
1183	9	2	17	1242	3
1184	9	1	53	1796	11
1185	3	1	50	125	4
1186	9	1	72	1598	1
1187	9	2	22	1299	9
1188	9	2	51	2987	2
1190	9	1	51	1896	10
1192	9	2	36	1997	3
1193	9	1	30	2698	7
1196	9	1	63	1970	14
1200	9	1	18	1399	7
1201	5	1	27	600	14
1202	9	2	30	1796	8
1204	9	2	66	1242	2
1205	9	2	66	1242	2
1206	9	1	28	1994	13
1207	9	2	50	1595	8
1208	9	2	50	1595	8
1209	9	2	50	1595	8
1214	9	1	51	1998	13
1216	9	2	46	1910	11
1218	9	1	41	1461	2
1219	9	2	45	1997	11
1221	9	2	46	1596	15
1224	21	1	30	9200	9
1225	9	1	88	1796	10
1228	9	1	22	4293	11
1229	9	1	26	2993	8
1230	9	1	32	1910	9
1231	19	1	33	1560	1
1232	9	1	33	1968	7
1233	9	2	56	1995	4
1234	9	1	56	999	6
1235	9	2	24	1197	5
1236	9	2	31	1124	10
1237	9	2	31	1124	10
1238	9	1	38	2500	16
1239	9	2	67	1242	5
1241	19	1	23	1995	1
1242	5	1	43	675	8
1243	9	1	48	1798	6
1245	9	2	60	1685	1
1246	9	2	66	998	2
1249	9	2	84	1997	14
1250	9	2	84	1997	14
1251	19	1	49	2402	14
1253	4	1	25	487	16
1254	9	2	55	998	1
1255	3	2	17	124	30
1256	9	1	21	1388	11
1257	9	1	52	1600	5
1258	9	1	52	1600	5
1259	9	2	58	1598	7
1260	9	1	30	2000	5
1261	9	1	78	1339	7
1262	9	1	78	1339	7
1268	9	1	20	1390	13
1269	9	1	20	1390	13
1270	9	1	20	1390	13
1271	9	1	20	1390	13
1274	9	2	53	998	3
1275	4	1	22	125	8
1277	9	2	65	1364	3
1278	9	1	24	2143	1
1281	9	1	56	1596	8
1285	9	2	50	1242	9
1291	9	2	33	2198	7
1295	9	1	23	1339	1
1296	9	1	63	2198	8
1297	9	2	41	1596	8
1298	9	1	43	1242	13
1301	9	2	39	1339	8
1302	9	1	38	1600	5
1303	9	2	27	1397	6
1305	9	2	52	1997	1
1306	9	1	23	1149	14
1307	9	2	33	1598	5
1309	9	1	61	1560	2
1311	9	2	57	1248	7
1312	11	1	50	4461	1
1313	9	1	18	1339	7
1315	9	1	38	1984	2
1319	9	1	46	1242	13
1320	9	1	55	1390	11
1321	9	1	42	1995	3
1322	9	2	40	1995	5
1323	9	1	19	1984	7
1324	9	1	27	1596	12
1325	9	1	66	1461	1
1326	9	2	27	1242	7
1329	9	1	39	1910	8
1330	9	2	55	1998	10
1331	11	1	50	4461	2
1335	9	1	30	1329	5
1336	9	1	30	1329	5
1337	9	1	78	1896	8
1338	9	1	57	2496	13
1339	5	1	48	645	11
1341	9	2	62	1783	12
1342	9	2	70	998	17
1343	9	1	79	1596	9
1344	9	1	79	1596	9
1345	9	2	38	1686	2
1346	9	2	29	1390	6
1347	9	1	33	1598	6
